,equity,delta
2017-04-14,-16104.5,-1.0
2017-04-17,-16920.0,0.0
2017-04-18,-16923.0,-1.0
2017-04-19,-16235.5,-1.0
2017-04-20,-17463.5,0.0
2017-04-21,-17463.5,0.0
2017-04-24,-17463.5,0.0
2017-04-25,-17463.5,0.0
2017-04-26,-17463.5,0.0
2017-04-27,-17463.5,0.0
2017-04-28,-17463.5,0.0
2017-05-01,-17463.5,0.0
2017-05-02,-17463.5,0.0
2017-05-03,-17463.5,0.0
2017-05-04,-17463.5,0.0
2017-05-05,-17463.5,0.0
2017-05-08,-17463.5,0.0
2017-05-09,-17463.5,0.0
2017-05-10,-17463.5,0.0
2017-05-11,-17463.5,0.0
2017-05-12,-17463.5,0.0
2017-05-15,-17463.5,0.0
2017-05-16,-17463.5,0.0
2017-05-17,-17463.5,0.0
2017-05-18,-17463.5,0.0
2017-05-19,-17463.5,0.0
2017-05-22,-17466.5,-1.0
2017-05-23,-17604.0,-1.0
2017-05-24,-17929.0,-1.0
2017-05-25,-17979.0,-1.0
2017-05-26,-18504.0,-1.0
2017-05-30,-18482.0,0.0
2017-05-31,-18482.0,0.0
2017-06-01,-18482.0,0.0
2017-06-02,-18482.0,0.0
2017-06-05,-18482.0,0.0
2017-06-06,-18482.0,0.0
2017-06-07,-18482.0,0.0
2017-06-08,-18482.0,0.0
2017-06-09,-18482.0,0.0
2017-06-12,-18482.0,0.0
2017-06-13,-18482.0,0.0
2017-06-14,-18482.0,0.0
2017-06-15,-18482.0,0.0
2017-06-16,-18482.0,0.0
2017-06-19,-18482.0,0.0
2017-06-20,-18482.0,0.0
2017-06-21,-18482.0,0.0
2017-06-22,-18482.0,0.0
2017-06-23,-18482.0,0.0
2017-06-26,-18485.0,-1.0
2017-06-27,-18385.0,-1.0
2017-06-28,-18497.5,-1.0
2017-06-29,-17560.0,-1.0
2017-06-30,-17672.5,-1.0
2017-07-03,-17847.5,-1.0
2017-07-05,-18172.5,-1.0
2017-07-06,-16960.0,-1.0
2017-07-07,-17810.0,-1.0
2017-07-10,-18022.5,-1.0
2017-07-11,-17785.0,-1.0
2017-07-12,-18738.0,0.0
2017-07-13,-18738.0,0.0
2017-07-14,-18738.0,0.0
2017-07-17,-18738.0,0.0
2017-07-18,-18738.0,0.0
2017-07-19,-18738.0,0.0
2017-07-20,-18738.0,0.0
2017-07-21,-18738.0,0.0
2017-07-24,-18738.0,0.0
2017-07-25,-18738.0,0.0
2017-07-26,-18738.0,0.0
2017-07-27,-18738.0,0.0
2017-07-28,-18738.0,0.0
2017-07-31,-18738.0,0.0
2017-08-01,-18738.0,0.0
2017-08-02,-18738.0,0.0
2017-08-03,-18738.0,0.0
2017-08-04,-18738.0,0.0
2017-08-07,-18738.0,0.0
2017-08-08,-18738.0,0.0
2017-08-09,-18738.0,0.0
2017-08-10,-18738.0,0.0
2017-08-11,-18738.0,0.0
2017-08-14,-18741.0,-1.0
2017-08-15,-18891.0,-1.0
2017-08-16,-18866.0,-1.0
2017-08-17,-17103.5,-1.0
2017-08-18,-17066.0,-1.0
2017-08-21,-16953.5,-1.0
2017-08-22,-18178.5,-1.0
2017-08-23,-17828.5,-1.0
2017-08-24,-17503.5,-1.0
2017-08-25,-17816.0,-1.0
2017-08-28,-17666.0,-1.0
2017-08-29,-17866.0,-1.0
2017-08-30,-18303.5,-1.0
2017-08-31,-19169.0,0.0
2017-09-01,-19169.0,0.0
2017-09-05,-19169.0,0.0
2017-09-06,-19169.0,0.0
2017-09-07,-19169.0,0.0
2017-09-08,-19169.0,0.0
2017-09-11,-19169.0,0.0
2017-09-12,-19169.0,0.0
2017-09-13,-19169.0,0.0
2017-09-14,-19169.0,0.0
2017-09-15,-19169.0,0.0
2017-09-18,-19169.0,0.0
2017-09-19,-19169.0,0.0
2017-09-20,-19169.0,0.0
2017-09-21,-19169.0,0.0
2017-09-22,-19169.0,0.0
2017-09-25,-19169.0,0.0
2017-09-26,-19169.0,0.0
2017-09-27,-19169.0,0.0
2017-09-28,-19169.0,0.0
2017-09-29,-19169.0,0.0
2017-10-02,-19169.0,0.0
2017-10-03,-19169.0,0.0
2017-10-04,-19169.0,0.0
2017-10-05,-19169.0,0.0
2017-10-06,-19169.0,0.0
2017-10-10,-19169.0,0.0
2017-10-11,-19169.0,0.0
2017-10-12,-19169.0,0.0
2017-10-13,-19169.0,0.0
2017-10-16,-19169.0,0.0
2017-10-17,-19169.0,0.0
2017-10-18,-19169.0,0.0
2017-10-19,-19169.0,0.0
2017-10-20,-19169.0,0.0
2017-10-23,-19169.0,0.0
2017-10-24,-19169.0,0.0
2017-10-25,-19169.0,0.0
2017-10-26,-19169.0,0.0
2017-10-27,-19169.0,0.0
2017-10-30,-19169.0,0.0
2017-10-31,-19169.0,0.0
2017-11-01,-19169.0,0.0
2017-11-02,-19169.0,0.0
2017-11-03,-19169.0,0.0
2017-11-06,-19169.0,0.0
2017-11-07,-19169.0,0.0
